Gene	Mutations	Coverage	p-value	q-value	Rank
CDK5RAP2	11	4677	0.019159628	0.069069864	4530
ARHGAP30	9	4464	0.019166579	0.069069864	4531
HS3ST3A1	10	4552	0.019168368	0.069069864	4532
PRPF4B	10	4251	0.019169907	0.069069864	4533
ZNF567	9	3330	0.019178644	0.069069864	4534
ABCC10	10	3581	0.019179488	0.069069864	4535
CYTIP	10	4712	0.019183436	0.069069864	4536
PDLIM5	9	4739	0.019185264	0.069069864	4537
UBAP1	9	4026	0.019198324	0.069069864	4538
TPK1	11	4967	0.019203616	0.069069864	4539
IGKV2D-29	10	4660	0.019204016	0.069069864	4540
GOLGA1	10	4400	0.019209956	0.069069864	4541
SLC25A12	10	3906	0.019210296	0.069069864	4542
ZNF766	11	3942	0.019213479	0.069069864	4543
DAGLA	9	3360	0.019223224	0.069069864	4544
CCN4	11	3123	0.019231213	0.069069864	4545
DDX27	12	3020	0.019235642	0.069069864	4546
SEMG2	10	4439	0.019240568	0.069069864	4547
CALHM1	10	4307	0.019252172	0.069069864	4548
ZNF416	10	3849	0.019253094	0.069069864	4549
SCFD2	10	4693	0.019264496	0.069069864	4550
PDE4D	8	4014	0.019265319	0.069069864	4551
TAB3	10	4520	0.019266528	0.069069864	4552
C8orf34	9	3452	0.019272329	0.069069864	4553
IGSF21	10	4692	0.019278467	0.069069864	4554
RGS20	10	3748	0.019290596	0.069069864	4555
PRR30	10	4440	0.019293102	0.069069864	4556
FOXI1	12	4423	0.019293105	0.069069864	4557
PFKM	10	4671	0.019294332	0.069069864	4558
SLC4A4	11	4058	0.019295232	0.069069864	4559
B3GAT2	10	4017	0.019300739	0.069069864	4560
MPP2	8	4857	0.019302098	0.069069864	4561
TRPM5	8	4806	0.019303905	0.069069864	4562
NEURL1	9	4759	0.019305340	0.069069864	4563
PIWIL4	11	4799	0.019309323	0.069069864	4564
ZNF616	11	4405	0.019315112	0.069069864	4565
DAPK1	11	4782	0.019316490	0.069069864	4566
TRAK1	9	4037	0.019319338	0.069069864	4567
NSMAF	9	4254	0.019320887	0.069069864	4568
PLCXD2	9	4088	0.019321077	0.069069864	4569
WNT16	10	3539	0.019322064	0.069069864	4570
SEMA6B	10	4219	0.019331246	0.069069864	4571
CST1	10	4179	0.019338538	0.069069864	4572
SLC12A9	10	3272	0.019339526	0.069069864	4573
CASP14	10	4591	0.019344881	0.069069864	4574
RPL14	11	3319	0.019354277	0.069069864	4575
USP15	10	4313	0.019356673	0.069069864	4576
KCNS3	11	4350	0.019356853	0.069069864	4577
STK32B	10	3973	0.019359844	0.069069864	4578
EFTUD2	10	3299	0.019364593	0.069069864	4579
ZNF470	9	4757	0.019371562	0.069069864	4580
RBM6	10	3932	0.019373358	0.069069864	4581
CACHD1	11	4086	0.019385663	0.069069864	4582
XKR3	10	4512	0.019389223	0.069069864	4583
CTXN3	10	4727	0.019406290	0.069069864	4584
ZNF343	10	3048	0.019407203	0.069069864	4585
ALLC	11	3352	0.019414204	0.069069864	4586
MARS2	11	4655	0.019414442	0.069069864	4587
MAEL	10	3267	0.019421989	0.069069864	4588
BTBD3	10	3439	0.019428288	0.069069864	4589
ALPK3	10	4778	0.019429623	0.069069864	4590
GTF2IRD1	8	4415	0.019430875	0.069069864	4591
HADHB	10	4711	0.019431424	0.069069864	4592
LCAT	11	4152	0.019434172	0.069069864	4593
GAS2L3	11	3836	0.019437849	0.069069864	4594
FCHO1	10	3519	0.019440416	0.069069864	4595
DCAF1	10	3364	0.019444763	0.069069864	4596
FMO2	11	4852	0.019449774	0.069069864	4597
STRN3	9	3597	0.019460844	0.069069864	4598
KHDC3L	11	3515	0.019466650	0.069069864	4599
MTMR1	12	4653	0.019470350	0.069069864	4600
VIT	10	4216	0.019475038	0.069069864	4601
FAM155B	9	4559	0.019483148	0.069069864	4602
CTDP1	11	3854	0.019494162	0.069069864	4603
FBXO43	10	3628	0.019511905	0.069069864	4604
COLGALT2	10	4710	0.019512751	0.069069864	4605
TCF7L2	10	4132	0.019514542	0.069069864	4606
RARS2	10	4841	0.019516161	0.069069864	4607
STX2	8	3871	0.019516668	0.069069864	4608
ANKRD34B	9	3125	0.019521558	0.069069864	4609
RDH8	10	3785	0.019526478	0.069069864	4610
NXF3	10	3123	0.019526808	0.069069864	4611
SH2D3C	9	3159	0.019528313	0.069069864	4612
RAG2	11	3278	0.019531948	0.069069864	4613
IGFN1	11	4454	0.019533771	0.069069864	4614
KAT6A	11	4096	0.019533808	0.069069864	4615
STK32C	11	3067	0.019540967	0.069069864	4616
CYP7A1	10	4745	0.019545345	0.069069864	4617
SSTR1	9	4838	0.019550844	0.069069864	4618
MPP4	10	4188	0.019552225	0.069069864	4619
CPA2	10	3645	0.019552978	0.069069864	4620
SUN3	11	4224	0.019562257	0.069069864	4621
SLC18A1	10	4098	0.019568804	0.069069864	4622
CUL7	11	3948	0.019571516	0.069069864	4623
ZIK1	10	4981	0.019576102	0.069069864	4624
PHF2	10	3178	0.019580184	0.069069864	4625
RCBTB2	11	3040	0.019597241	0.069069864	4626
CGREF1	12	3972	0.019597585	0.069069864	4627
F7	9	3719	0.019598136	0.069069864	4628
SGCD	10	4086	0.019605000	0.069069864	4629
NCKAP5L	11	3142	0.019607105	0.069069864	4630
ZFP82	9	4833	0.019608833	0.069069864	4631
C4orf3	11	4014	0.019610215	0.069069864	4632
SPON1	9	4196	0.019610814	0.069069864	4633
CCDC148	11	3927	0.019617569	0.069069864	4634
FAM160A2	10	4130	0.019620513	0.069069864	4635
AK7	10	4627	0.019621468	0.069069864	4636
SPDL1	10	3976	0.019622079	0.069069864	4637
TBC1D23	9	3030	0.019636251	0.069069864	4638
GCKR	8	4260	0.019640487	0.069069864	4639
MEGF6	11	4226	0.019641859	0.069069864	4640
SLC25A31	10	4515	0.019643250	0.069069864	4641
AGAP4	10	3816	0.019654897	0.069069864	4642
TRIM37	11	4399	0.019661593	0.069069864	4643
TMEFF1	10	3440	0.019665504	0.069069864	4644
PWWP3B	9	3735	0.019665982	0.069069864	4645
ZNF284	7	3500	0.019669485	0.069069864	4646
INO80D	9	4556	0.019676556	0.069069864	4647
PCSK2	11	4960	0.019681881	0.069069864	4648
KIRREL1	11	3923	0.019686769	0.069069864	4649
CLEC6A	9	4350	0.019686819	0.069069864	4650
FAM186B	12	3997	0.019687834	0.069069864	4651
CYP4V2	10	4402	0.019699649	0.069069864	4652
PRDM4	11	3774	0.019701607	0.069069864	4653
PRSS35	9	4917	0.019705257	0.069069864	4654
GABRD	9	3888	0.019716556	0.069069864	4655
ADARB2	9	4995	0.019722142	0.069069864	4656
IGKV2D-30	11	4089	0.019723735	0.069069864	4657
PRKG2	10	4628	0.019737016	0.069069864	4658
VIP	8	3518	0.019737323	0.069069864	4659
SRCIN1	9	4478	0.019745210	0.069069864	4660
EEPD1	11	3820	0.019746263	0.069069864	4661
TAF1C	11	4185	0.019746744	0.069069864	4662
KMO	11	3526	0.019755445	0.069069864	4663
AHSG	10	4176	0.019755696	0.069069864	4664
MARCHF4	12	3756	0.019758699	0.069069864	4665
ARID4B	9	3682	0.019761455	0.069069864	4666
BTRC	11	3088	0.019766377	0.069069864	4667
KCNN3	11	4781	0.019772223	0.069069864	4668
VSTM4	10	4457	0.019778321	0.069069864	4669
PTPRS	12	3226	0.019782958	0.069069864	4670
ATP2A2	10	3958	0.019783258	0.069069864	4671
PLD2	9	4444	0.019790270	0.069069864	4672
OR6M1	10	3386	0.019791491	0.069069864	4673
LILRA4	12	4727	0.019792741	0.069069864	4674
ARHGEF15	10	3200	0.019792967	0.069069864	4675
AGAP1	12	4582	0.019795459	0.069069864	4676
MUC13	10	3374	0.019797342	0.069069864	4677
CLIP4	10	3946	0.019798310	0.069069864	4678
SEC23IP	11	4652	0.019800923	0.069069864	4679
LCTL	10	4327	0.019804770	0.069069864	4680
UGGT1	9	3883	0.019808131	0.069069864	4681
UGT2A2	11	4424	0.019810406	0.069069864	4682
UQCRC2	10	3902	0.019818360	0.069069864	4683
EXOC2	8	3943	0.019821379	0.069069864	4684
SCUBE1	9	3386	0.019830030	0.069069864	4685
KAT6B	9	3208	0.019832843	0.069069864	4686
PRAMEF17	10	4522	0.019834200	0.069069864	4687
HTR1B	10	3796	0.019838919	0.069069864	4688
GUCY2C	9	4393	0.019843296	0.069069864	4689
ENPP1	12	4903	0.019849796	0.069069864	4690
PADI4	9	4997	0.019856248	0.069069864	4691
XPO1	9	4125	0.019859695	0.069069864	4692
HAPLN3	10	3164	0.019863954	0.069069864	4693
RNF133	10	3770	0.019869092	0.069069864	4694
ESRP1	9	4098	0.019881542	0.069069864	4695
HELB	11	4751	0.019881848	0.069069864	4696
PLOD2	10	4998	0.019894043	0.069069864	4697
TMEM132A	11	4199	0.019895711	0.069069864	4698
NAV1	10	3475	0.019895978	0.069069864	4699
NRDC	7	4999	0.019899698	0.069069864	4700
EPB41L1	10	4771	0.019904584	0.069069864	4701
NUFIP2	10	4171	0.019910530	0.069069864	4702
BTN3A2	8	3442	0.019910612	0.069069864	4703
EPHB4	9	3539	0.019911535	0.069069864	4704
KMT2E	12	4387	0.019913812	0.069069864	4705
MRPL39	8	4296	0.019916696	0.069069864	4706
ZNF287	10	4684	0.019920098	0.069069864	4707
ZNF8	8	4856	0.019921569	0.069069864	4708
TMC3	10	3434	0.019925018	0.069069864	4709
PRSS36	11	3930	0.019927101	0.069069864	4710
PAX5	10	4820	0.019931786	0.069069864	4711
TRMT10A	12	4871	0.019934294	0.069069864	4712
LIPG	9	4068	0.019935444	0.069069864	4713
SIMC1	8	4822	0.019939217	0.069069864	4714
MYBPH	8	3180	0.019943253	0.069069864	4715
HTR3B	10	3729	0.019943965	0.069069864	4716
ERCC6L2	9	4607	0.019952315	0.069069864	4717
ARHGAP4	10	4442	0.019958404	0.069069864	4718
CYTH1	10	4122	0.019959946	0.069069864	4719
RBM12	10	3865	0.019960224	0.069069864	4720
ADA2	10	4710	0.019962723	0.069069864	4721
PPM1F	10	3419	0.019964928	0.069069864	4722
ARAP3	9	3506	0.019978853	0.069069864	4723
SSMEM1	9	4996	0.019982638	0.069069864	4724
TET2	10	3987	0.019986923	0.069069864	4725
INTS4	9	3664	0.019995438	0.069069864	4726
CDS2	10	4461	0.020000944	0.069069864	4727
ITGA1	11	3173	0.020001328	0.069069864	4728
OGDH	10	3257	0.020002935	0.069069864	4729
WASF3	11	3942	0.020003362	0.069069864	4730
IFI44L	11	4499	0.020010599	0.069069864	4731
LPAR3	8	3253	0.020011652	0.069069864	4732
CNTNAP3	10	4403	0.020032537	0.069069864	4733
DHTKD1	9	3032	0.020034709	0.069069864	4734
BTBD9	10	3504	0.020037080	0.069069864	4735
CFAP69	9	4316	0.020046957	0.069069864	4736
PFKFB1	12	4693	0.020049772	0.069069864	4737
HARS1	10	3346	0.020053014	0.069069864	4738
OTX2	10	3358	0.020053206	0.069069864	4739
RBMXL1	10	4185	0.020065372	0.069069864	4740
RAB11FIP2	7	3020	0.020067110	0.069069864	4741
MINDY4	9	3620	0.020070210	0.069069864	4742
OR8B4	10	4877	0.020070544	0.069069864	4743
CENPI	10	3359	0.020074396	0.069069864	4744
PIGO	11	3264	0.020074472	0.069069864	4745
PSMD11	9	3667	0.020079977	0.069069864	4746
USP33	10	3394	0.020088052	0.069069864	4747
KRTAP13-4	9	3158	0.020091621	0.069069864	4748
PCSK1	9	4960	0.020097794	0.069069864	4749
MFAP3L	9	3174	0.020098008	0.069069864	4750
CCDC27	10	4648	0.020098795	0.069069864	4751
SUSD6	10	3673	0.020099699	0.069069864	4752
ACVR1B	10	4547	0.020102103	0.069069864	4753
TNFSF8	10	3880	0.020105922	0.069069864	4754
SOX7	10	4064	0.020106082	0.069069864	4755
RNF165	11	3724	0.020106852	0.069069864	4756
JPH3	11	4621	0.020106959	0.069069864	4757
NOX1	11	4477	0.020107204	0.069069864	4758
CCDC190	10	3910	0.020113031	0.069069864	4759
GJC1	9	3449	0.020115834	0.069069864	4760
ZNF283	10	4572	0.020119706	0.069069864	4761
TMEM94	8	3727	0.020128723	0.069069864	4762
AKT3	8	4590	0.020137314	0.069069864	4763
IL1A	10	3665	0.020139073	0.069069864	4764
LDB3	10	3832	0.020144276	0.069069864	4765
TMEM38B	9	4023	0.020145901	0.069069864	4766
CDC42BPG	10	3909	0.020151646	0.069069864	4767
TTC14	11	3876	0.020167655	0.069069864	4768
SCML4	11	3632	0.020167842	0.069069864	4769
DIS3L2	11	4689	0.020168998	0.069069864	4770
TP53INP1	10	4403	0.020171853	0.069069864	4771
SBSPON	11	3980	0.020172230	0.069069864	4772
H2BW1	9	3294	0.020173019	0.069069864	4773
SLFN5	12	4619	0.020173130	0.069069864	4774
CYP2B6	10	3447	0.020176716	0.069069864	4775
PROKR2	12	4140	0.020181238	0.069070878	4776
IKZF2	9	4613	0.020199139	0.069108029	4777
IRF8	11	4934	0.020200548	0.069108029	4778
LARP4	9	4524	0.020205080	0.069109069	4779
COLEC12	9	3978	0.020219462	0.069135306	4780
GTPBP1	11	4449	0.020221210	0.069135306	4781
PLPP4	11	4741	0.020226532	0.069139041	4782
CXCR4	8	4401	0.020230837	0.069139298	4783
PCDHAC2	9	3648	0.020248950	0.069166199	4784
ADAM17	9	4241	0.020265516	0.069166199	4785
TRIM7	10	3858	0.020274578	0.069166199	4786
WWC1	11	3672	0.020278100	0.069166199	4787
SLC30A9	10	3836	0.020299661	0.069166199	4788
CSGALNACT2	11	4348	0.020300342	0.069166199	4789
CFHR1	9	4963	0.020304668	0.069166199	4790
NXPE1	10	3726	0.020307499	0.069166199	4791
UBE2R2	9	3156	0.020327259	0.069166199	4792
OR9Q2	10	4380	0.020327890	0.069166199	4793
NGEF	10	4682	0.020335725	0.069166199	4794
SDCCAG8	9	4932	0.020339172	0.069166199	4795
PTPN5	11	3431	0.020343028	0.069166199	4796
SLC3A2	10	4301	0.020354759	0.069166199	4797
ERCC6L	9	3818	0.020358736	0.069166199	4798
MSGN1	10	4303	0.020360526	0.069166199	4799
FRMD4A	10	3761	0.020369518	0.069166199	4800
KBTBD3	8	4775	0.020375595	0.069166199	4801
GRB2	9	3226	0.020392441	0.069166199	4802
SULT4A1	10	3920	0.020400001	0.069166199	4803
ZNF598	10	4071	0.020400900	0.069166199	4804
PRDM10	11	4882	0.020404005	0.069166199	4805
LRRC8D	9	3939	0.020409545	0.069166199	4806
TRAK2	8	4853	0.020413201	0.069166199	4807
ODF2	8	3717	0.020428681	0.069166199	4808
SEC24B	9	3646	0.020429355	0.069166199	4809
GLRA4	9	3266	0.020435237	0.069166199	4810
SIRPB1	10	3022	0.020439767	0.069166199	4811
CHEK2	11	3221	0.020441160	0.069166199	4812
SLC26A4	10	3752	0.020455078	0.069166199	4813
OXR1	9	3702	0.020460258	0.069166199	4814
ANKK1	12	4009	0.020463480	0.069166199	4815
PIWIL3	9	4336	0.020463619	0.069166199	4816
SLC7A4	10	4785	0.020473138	0.069166199	4817
SAMSN1	10	4452	0.020475762	0.069166199	4818
ACSM1	10	3714	0.020489401	0.069166199	4819
RASGRP4	9	3209	0.020495633	0.069166199	4820
LIG4	9	4551	0.020500066	0.069166199	4821
HHAT	10	3482	0.020516184	0.069166199	4822
KIFAP3	7	4432	0.020523072	0.069166199	4823
BAHCC1	10	4043	0.020523237	0.069166199	4824
PAX6	10	4712	0.020529083	0.069166199	4825
BPHL	8	4497	0.020532495	0.069166199	4826
SLAMF1	10	3929	0.020533992	0.069166199	4827
BNIP5	9	3519	0.020535344	0.069166199	4828
H2BC9	9	3755	0.020536392	0.069166199	4829
MCM10	10	3601	0.020537411	0.069166199	4830
MECP2	9	3232	0.020539387	0.069166199	4831
ACVR1C	10	3913	0.020547519	0.069166199	4832
MCTP2	10	3935	0.020552662	0.069166199	4833
FGF23	12	4542	0.020553848	0.069166199	4834
DDX42	11	4731	0.020560334	0.069166199	4835
GIMAP5	10	3104	0.020567234	0.069166199	4836
ZNF649	11	4910	0.020567311	0.069166199	4837
TMEM145	11	3813	0.020573189	0.069166199	4838
HPS4	8	4594	0.020577670	0.069166199	4839
IL10RA	9	3972	0.020585125	0.069166199	4840
IGF2BP2	9	4905	0.020585894	0.069166199	4841
SPAG5	9	3540	0.020588795	0.069166199	4842
FRG2	11	4530	0.020591869	0.069166199	4843
CCL22	9	4905	0.020593885	0.069166199	4844
DHX34	10	3076	0.020594801	0.069166199	4845
OSBPL7	10	3558	0.020601585	0.069166199	4846
ZNF780A	9	4587	0.020603813	0.069166199	4847
KRT31	10	4324	0.020605791	0.069166199	4848
PTEN	10	4092	0.020611048	0.069166199	4849
SFTPD	10	3347	0.020617437	0.069166199	4850
ESD	10	4006	0.020618167	0.069166199	4851
CNKSR1	10	3891	0.020629975	0.069166199	4852
CATSPERD	9	3170	0.020634360	0.069166199	4853
NMBR	9	4201	0.020636450	0.069166199	4854
SPOCK1	10	4958	0.020642918	0.069166199	4855
ZNF195	10	3880	0.020645053	0.069166199	4856
ATP6V1H	9	4661	0.020649424	0.069166199	4857
QSOX2	8	4293	0.020652561	0.069166199	4858
SYT13	10	3637	0.020654021	0.069166199	4859
OR1A2	9	4435	0.020654968	0.069166199	4860
PRICKLE2	9	3200	0.020657435	0.069166199	4861
SPATA7	9	4326	0.020660526	0.069166199	4862
CPA6	9	4589	0.020663482	0.069166199	4863
GTDC1	12	3697	0.020668150	0.069166199	4864
DHRS9	12	4861	0.020669047	0.069166199	4865
XKR4	10	4581	0.020669967	0.069166199	4866
KLF11	8	3165	0.020670280	0.069166199	4867
PRDX6	8	4123	0.020671575	0.069166199	4868
ITGB8	11	4143	0.020673852	0.069166199	4869
ERBB3	10	3998	0.020679695	0.069166199	4870
DENND5B	11	3258	0.020680958	0.069166199	4871
RAD54B	10	3816	0.020682453	0.069166199	4872
MTMR12	10	4714	0.020682469	0.069166199	4873
OR56B1	10	3232	0.020684827	0.069166199	4874
ERCC4	10	3362	0.020686024	0.069166199	4875
C8orf74	8	4174	0.020687974	0.069166199	4876
SLC34A1	10	4708	0.020698196	0.069166199	4877
KDM4A	8	3565	0.020699808	0.069166199	4878
KLK2	10	4022	0.020701741	0.069166199	4879
KCTD16	10	3131	0.020703631	0.069166199	4880
TRPV3	9	4507	0.020705422	0.069166199	4881
SMAD9	8	4233	0.020708680	0.069166199	4882
SEZ6L2	9	3564	0.020711322	0.069166199	4883
PHLDB1	11	4821	0.020712578	0.069166199	4884
L2HGDH	8	3161	0.020716599	0.069166199	4885
LGI1	9	3194	0.020718991	0.069166199	4886
PPARG	9	3187	0.020723152	0.069166199	4887
TROAP	10	3063	0.020738599	0.069166199	4888
KLHL28	8	3790	0.020742849	0.069166199	4889
DPY19L4	8	4538	0.020746768	0.069166199	4890
TUBGCP6	8	3288	0.020746944	0.069166199	4891
INTS2	10	4960	0.020750749	0.069166199	4892
SLC27A1	10	4302	0.020754054	0.069166199	4893
F2R	10	4285	0.020754459	0.069166199	4894
POLD1	9	3613	0.020756029	0.069166199	4895
ZNF606	9	4161	0.020756231	0.069166199	4896
CMPK2	10	3163	0.020760479	0.069166199	4897
ZNF681	9	3867	0.020761195	0.069166199	4898
RNF31	10	3846	0.020767647	0.069166199	4899
GCC1	11	4663	0.020771164	0.069166199	4900
IQSEC1	9	4769	0.020776165	0.069166199	4901
STIL	10	4651	0.020782380	0.069166199	4902
MAPK10	8	4717	0.020788479	0.069166199	4903
ZNF484	9	4011	0.020804050	0.069166199	4904
AGER	10	4107	0.020804704	0.069166199	4905
KDM4D	10	4845	0.020805280	0.069166199	4906
VWA5A	10	3398	0.020806545	0.069166199	4907
ANTXR1	10	4657	0.020809552	0.069166199	4908
SLC17A2	9	3488	0.020813543	0.069166199	4909
RUBCN	10	3455	0.020823450	0.069166199	4910
GGN	10	4450	0.020828724	0.069166199	4911
ANKRD50	11	3441	0.020833245	0.069166199	4912
GATAD2A	9	4627	0.020834278	0.069166199	4913
KDM6A	10	4463	0.020837139	0.069166199	4914
COLEC11	10	3075	0.020837429	0.069166199	4915
OR3A1	9	3891	0.020840090	0.069166199	4916
HSPA13	10	3453	0.020848719	0.069166199	4917
SBF1	8	4279	0.020851388	0.069166199	4918
SPATA6	9	3217	0.020855495	0.069166199	4919
OTC	9	3775	0.020855853	0.069166199	4920
HNRNPUL1	8	3901	0.020859491	0.069166199	4921
KRT25	10	4510	0.020866348	0.069166199	4922
ZMIZ1	10	3666	0.020875543	0.069166199	4923
IGHD	9	3558	0.020877802	0.069166199	4924
ZNF527	9	3174	0.020880526	0.069166199	4925
TIFAB	11	3392	0.020887765	0.069166199	4926
MYBPC3	10	4586	0.020889035	0.069166199	4927
TAF5L	10	3950	0.020889606	0.069166199	4928
HAUS6	9	4687	0.020895236	0.069166199	4929
IGBP1P2	8	4826	0.020895255	0.069166199	4930
MED23	10	3261	0.020900638	0.069166199	4931
TWNK	10	4367	0.020902977	0.069166199	4932
TANGO6	9	3563	0.020909237	0.069166199	4933
TIMELESS	9	4511	0.020917186	0.069166199	4934
CSNK1A1L	12	3743	0.020919989	0.069166199	4935
PLCB2	10	3074	0.020925575	0.069166199	4936
PRKAA1	10	3562	0.020926194	0.069166199	4937
TTLL6	9	4354	0.020927812	0.069166199	4938
KIF5C	9	3576	0.020931324	0.069166199	4939
SMAD3	8	3049	0.020932098	0.069166199	4940
RERE	9	4006	0.020932371	0.069166199	4941
CACNG3	11	4473	0.020937986	0.069166199	4942
ACKR3	11	4683	0.020943311	0.069166199	4943
ARSG	10	4777	0.020944281	0.069166199	4944
NYAP1	9	3695	0.020950054	0.069166199	4945
NEURL4	8	4571	0.020953692	0.069166199	4946
FCGR1A	9	4050	0.020956299	0.069166199	4947
PLSCR4	10	3419	0.020960702	0.069166199	4948
ZYG11B	11	3532	0.020969070	0.069166199	4949
ALCAM	9	3928	0.020972929	0.069166199	4950
SOWAHC	10	3554	0.020975044	0.069166199	4951
MTMR6	10	4431	0.020976730	0.069166199	4952
GPAM	11	3210	0.020977982	0.069166199	4953
OR52N4	8	4515	0.020983301	0.069166199	4954
MLLT3	9	4315	0.020989208	0.069166199	4955
PDE6B	10	4760	0.020990276	0.069166199	4956
RTN3	11	4659	0.020991460	0.069166199	4957
NAALADL1	8	4192	0.020993010	0.069166199	4958
IGKV2-24	10	4754	0.020994440	0.069166199	4959
NUP153	10	4136	0.020994466	0.069166199	4960
RASGRF1	9	4654	0.020995220	0.069166199	4961
SMCHD1	9	4803	0.020996126	0.069166199	4962
HMMR	10	4537	0.021004420	0.069176146	4963
PANX3	10	4952	0.021010839	0.069176146	4964
NEUROD4	11	4283	0.021012758	0.069176146	4965
PROM2	12	3852	0.021016074	0.069176146	4966
TRIM10	10	4946	0.021020641	0.069176466	4967
TNS2	11	3493	0.021028941	0.069176466	4968
OPN4	10	3444	0.021035456	0.069176466	4969
STRIP1	9	3025	0.021036783	0.069176466	4970
SGK2	9	3018	0.021037331	0.069176466	4971
GALNT2	10	4577	0.021047904	0.069179195	4972
ACVRL1	10	3519	0.021054580	0.069179195	4973
PPIAL4A	10	3361	0.021058230	0.069179195	4974
CFC1	9	3728	0.021061067	0.069179195	4975
CYP2C9	8	3750	0.021066391	0.069179195	4976
TNKS2	9	3939	0.021066401	0.069179195	4977
MS4A5	9	3118	0.021071005	0.069179195	4978
ARSI	10	4373	0.021072018	0.069179195	4979
EPHA2	11	4023	0.021085136	0.069198643	4980
USP20	10	4968	0.021090818	0.069198643	4981
SCG3	8	4040	0.021094599	0.069198643	4982
MAST2	10	4795	0.021094876	0.069198643	4983
OASL	9	4625	0.021102637	0.069210214	4984
MEIS2	9	3433	0.021115508	0.069211274	4985
PRKCQ	11	4058	0.021115531	0.069211274	4986
PIK3R3	11	3557	0.021118075	0.069211274	4987
APOBEC3G	8	4214	0.021119897	0.069211274	4988
FRS2	9	3793	0.021132961	0.069240203	4989
GABRB2	10	3115	0.021144734	0.069264894	4990
WDR59	10	3276	0.021162291	0.069293154	4991
FBXO47	9	3928	0.021168596	0.069293154	4992
MEIS1	10	4325	0.021173299	0.069293154	4993
SPR	10	4408	0.021182695	0.069293154	4994
ZNF777	8	4626	0.021182973	0.069293154	4995
PIP4P2	8	4099	0.021183433	0.069293154	4996
ZW10	9	3578	0.021193729	0.069293154	4997
IQSEC2	12	4678	0.021193942	0.069293154	4998
MASP1	10	3995	0.021194859	0.069293154	4999
PRLHR	10	4982	0.021198422	0.069293154	5000
CLK2	9	4680	0.021199992	0.069293154	5001
ZNF141	9	4843	0.021227508	0.069362406	5002
KNG1	9	3022	0.021231495	0.069362406	5003
RGS5	10	4225	0.021237770	0.069362406	5004
ZNF282	9	3470	0.021245555	0.069362406	5005
ACOT12	10	3864	0.021248180	0.069362406	5006
TBC1D16	9	4873	0.021253148	0.069362406	5007
ZBTB33	9	3732	0.021254285	0.069362406	5008
KNSTRN	8	4623	0.021256752	0.069362406	5009
TIE1	11	4762	0.021259370	0.069362406	5010
FAM153B	9	3183	0.021270587	0.069385155	5011
TCN1	9	4548	0.021278324	0.069386923	5012
C12orf66	9	4746	0.021281087	0.069386923	5013
LIPC	9	4751	0.021285598	0.069386923	5014
SH2B1	9	4515	0.021306284	0.069386923	5015
CFAP298-TCP10L	10	3245	0.021308957	0.069386923	5016
SOBP	10	4289	0.021311768	0.069386923	5017
COL9A2	8	4441	0.021312472	0.069386923	5018
FAM90A1	10	4110	0.021317103	0.069386923	5019
TRIM72	9	4584	0.021320221	0.069386923	5020
EOMES	9	4053	0.021321486	0.069386923	5021
LCE2B	9	4036	0.021321555	0.069386923	5022
TBC1D2	8	4881	0.021322067	0.069386923	5023
QRICH2	9	3016	0.021353414	0.069458847	5024
SYNCRIP	9	3740	0.021355303	0.069458847	5025
ANKRD24	8	3916	0.021356917	0.069458847	5026
MYO5C	9	4609	0.021368401	0.069482373	5027
SLC16A7	9	3950	0.021380041	0.069496441	5028
TEX14	11	4986	0.021381231	0.069496441	5029
PLCL2	10	4605	0.021393133	0.069521302	5030
USH1C	10	4586	0.021423243	0.069532843	5031
MAGEA8	10	4415	0.021424373	0.069532843	5032
ELAPOR1	10	4819	0.021424671	0.069532843	5033
TRIM24	8	3614	0.021426628	0.069532843	5034
TPTE2	9	3161	0.021428932	0.069532843	5035
CELA2B	9	4381	0.021429851	0.069532843	5036
LCN15	9	4948	0.021438907	0.069532843	5037
CD300C	9	4017	0.021440206	0.069532843	5038
HKDC1	9	4572	0.021443202	0.069532843	5039
KIF1B	11	4750	0.021445929	0.069532843	5040
CAMK2B	10	3317	0.021447824	0.069532843	5041
ADRA1B	9	4186	0.021468611	0.069532843	5042
LDHC	8	4858	0.021471190	0.069532843	5043
NEFM	8	4537	0.021471440	0.069532843	5044
MAML1	8	3261	0.021481650	0.069532843	5045
ACTA1	8	4263	0.021484104	0.069532843	5046
IFIH1	9	4662	0.021486119	0.069532843	5047
KBTBD6	10	4811	0.021489059	0.069532843	5048
RPGR	8	3560	0.021493377	0.069532843	5049
SPATA25	9	3193	0.021496046	0.069532843	5050
WDR75	9	3361	0.021498766	0.069532843	5051
NR2E1	10	4850	0.021515058	0.069532843	5052
RHAG	10	4875	0.021516290	0.069532843	5053
TAS2R38	9	3905	0.021522487	0.069532843	5054
ZNF75D	10	4453	0.021522697	0.069532843	5055
PKP1	10	4004	0.021532355	0.069532843	5056
ZBED1	11	3904	0.021534476	0.069532843	5057
PITPNM3	10	3295	0.021536881	0.069532843	5058
TCOF1	9	4875	0.021537841	0.069532843	5059
MTERF3	8	3888	0.021539134	0.069532843	5060
ADAL	9	3002	0.021544347	0.069532843	5061
SKIDA1	9	4700	0.021557648	0.069532843	5062
TSPYL2	9	3479	0.021562289	0.069532843	5063
VEPH1	10	3108	0.021564266	0.069532843	5064
ADCY7	10	3484	0.021565614	0.069532843	5065
